employeeName,  designation,  email,  homeAddress,   startDate,   password,   contactNo,  emp_id
Vincent,  Dajoc,  Road@gmail.com,  Bajugjovvcvcrtgrevcv,  07/06/1932,   57032,   5520.15,   GREEN
Kathryn,  Hado,  Boulevard@gmail.com,  Awtibovcvreygecvcvc,  10/02/2018   ,88552,   2396.60,  RED
Anthony,  Kipde,  Court@gmail.com,  Kaljazfghcvcvcregyrevce,   07/15/1951,  76863,   4056.30,    WHITE
Pauline,  Azhih,  Extension@gmail.com,   Topw vcverycvcvoruz,  03/05/1970,    07612,   9716.89,  YELLOW
Douglas,  Fecwak,  Avenue@gmail.com,   Rienv cvfrtyvcviri,   03/02/2041,    73548,   3376.31,  WHITE
Franklin,  Ijodu,  Turnpike@gmail.com,   Jornirv c erverycvcer,   03/12/1948,  49926,  2591.97,  WHITE
Evelyn,   Pofol,  Ridge@gmail.com,  Hemtivcvcrefrvcvvih,   03/28/1958      ,  38399,   7197.40,  RED
Henrietta,     Gocsag,   Road@gmail.com,  Siphivcvcvcvcgghrtbgu,   11/24/1915     ,  70630,    760.25,  WHITE
Marguerite,   Peje,       Grove@gmail.com,  Arkihvcvcvcvcvvaf,   11/07/2019 ,  51235,   3539.91,   YELLOW
Lily,   Boumi,    Park@gmail.com,    Bismvcvcvrfyujrtcvyjipih,    03/15/1997   ,  62117,    6730.40,   RED
